,id,name,address,zip_code,latitude,longitude,rating,review_count,cuisine
90,NAlOPUbFQVE0bUu8_wmBLQ,Rezdôra,"27 E 20th St, New York, NY 10003",10003,40.73901,-73.9891,4.0,572,italian
91,fU22eRTnKLT2C-OFJ6eUGQ,Saraghina Pizzeria,"350 Lewis Ave, Brooklyn, NY 11233",11233,40.6837407,-73.9353473,4.0,1003,italian
92,-Td-YEPTOUq2H3LRWgRxUw,Non Solo Piada,"302 W 37th St, New York, NY 10018",10018,40.75414,-73.99245,4.5,407,italian
93,QUTSHrHw3qRZjf749VM1Yg,Serafina Italian Restaurant Osteria,"38 E 58th St, New York, NY 10022",10022,40.76273,-73.97155,3.5,147,italian
94,NlmP5x_Ykznd55Dc85ChUg,Nittis,"523 9th Ave, New York, NY 10018",10018,40.7567,-73.99411,4.5,307,italian
95,ePJlqiIhoVKIJW69IE53rg,Botte Brooklyn,"327 Gold St, Brooklyn, NY 11201",11201,40.69446,-73.98316,4.5,44,italian
96,yB4ziqFM_7V8JxJas7CHfA,Ulivo,"4 W 28th St, New York, NY 10001",10001,40.7447371960713,-73.9880339428782,4.0,365,italian
97,ddyYKrNWkdc5mudrmLaTvA,Flora,"1021 8th Ave, Brooklyn, NY 11215",11215,40.66458,-73.9800099,4.5,90,italian
98,Dng_LID2JNnc6M6A1FB19Q,Come Prima Ristorante,"903 Madison Ave, New York, NY 10021",10021,40.7721165011105,-73.965037390213,4.5,103,italian
99,RbiXVG4tzpC3zuILadyPIQ,La Pecora Bianca,"359 Columbus Ave, New York, NY 10024",10024,40.78049101969648,-73.9763467,4.0,31,italian
100,Ry9w-jFALWYhazi6jjyIKw,Rucola,"190 Dean St, Brooklyn, NY 11217",11217,40.68562,-73.98587,4.0,553,italian
101,mTWlEiCUEBlxBAkIikkB1A,Carmine's Italian Restaurant - Upper West Side,"2450 Broadway, New York, NY 10024",10024,40.791077,-73.973763,4.0,1692,italian
102,qKfD10PsDKP_9B7O1_7oJQ,All'Antico Vinaio,"729 8th Ave, New York, NY 10036",10036,40.7597,-73.98823,4.5,214,italian
103,HodL0fXoF08C3Ir-kLeTtw,Forma Pasta Factory,"14 Bedford Ave, Brooklyn, NY 11222",11222,40.72371,-73.95157,4.5,512,italian
104,E48WbksxAk19a8vjJRVIVQ,Ramerino Italian Prime,"16 E 39th St, New York, NY 10016",10016,40.75107,-73.98135,5.0,37,italian
105,4ixWiPyYysS2i8LAg4qzrQ,La Villetta,"398 E 52nd St, New York, NY 10022",10022,40.7549171,-73.9650879,4.0,106,italian
106,rZ9OFoSqy8u4WECfh--ylg,Marta,"29 E 29th St, New York, NY 10016",10016,40.7445882,-73.9847936,4.0,1000,italian
107,H_KyiRhwho8rdlw_R93_0Q,Marea,"240 Central Park S, New York, NY 10019",10019,40.7674213694566,-73.9810554368179,4.0,2324,italian
108,wzHyRI6iW0rIY8rMb3KClA,Felice,"240 Columbus Ave, New York, NY 10023",10023,40.77697,-73.97933,4.0,106,italian
109,Rc1Ay4C2BgLBouuM92SAtQ,Ferdi,"15 7th Ave S, New York, NY 10014",10014,40.72995,-74.00449,4.5,22,italian
110,5MpWHGQ6Qc-M4q1KL_nioA,Bar B,"84 7th Ave, New York, NY 10011",10011,40.7395804,-73.999118,4.5,195,italian
111,hDj_0pbi4mFR5p1H1w6igw,Misirizzi,"36 E 4th St, New York, NY 10003",10003,40.7272,-73.99228,4.5,189,italian
112,fFIQ8Rx4x1Z34kFJcmlVzQ,Cacio E Pepe,"1479 York Ave, New York, NY 10075",10075,40.77090864674996,-73.95098168604862,4.5,60,italian
113,OCTiJwvjoK81WoDwsTkFvA,Paesano of Mulberry Street,"136 Mulberry St, New York, NY 10013",10013,40.718554,-73.997447,4.0,1336,italian
114,yQ7K4uFnxXxpBVbnOSR8kA,Polpette 71,"71 West 71st St, New York, NY 10023",10023,40.77668,-73.97888,4.0,232,italian
115,k5fd-RSdG4IuXnnGSQ5oOw,San Marzano Pasta Fresca,"117 Second Ave, New York, NY 10003",10003,40.727966,-73.988382,4.0,1492,italian
