,id,name,address,zip_code,latitude,longitude,rating,review_count,cuisine
4179,ZqOxAKVZEZTa4XS4zthp3Q,Bombay Grill,"1176 Bedford Ave, Brooklyn, NY 11216",11216,40.68395749161352,-73.9543181843268,4.5,285,indian
4180,3rZwXDjkyDLAHNSdPUI5WA,Korai Kitchen,"576 Summit Ave, Jersey City, NJ 07306",07306,40.733896,-74.059151,5.0,319,indian
4181,YDtIHtfvWd4W36wq6UAjoA,Kitchen Grill Indian Restaurant,"914A Fulton St, Brooklyn, NY 11238",11238,40.6827929,-73.9644377,4.5,329,indian
4182,JZ45uaCB6SLBYng22_dplQ,Lasani,"539 9th Ave, New York, NY 10018",10018,40.75714,-73.993802,4.0,20,indian
4183,noBCTbD1Ylf5QR7PXy-rkA,Cafe Himalaya,"78 E 1st St, New York, NY 10009",10009,40.7232289034083,-73.9879441220901,4.0,667,indian
4184,IpiGGEXxz-5QVJpijXVmmA,Jackson Diner,"37-47 74th St, Jackson Heights, NY 11372",11372,40.7477307,-73.8913875,3.5,656,indian
4185,0s8rxDQhglhh28BLz-80qw,Mysttik Masaala,"90 Park Ave, Corner of 40th Street, New York, NY 10016",10016,40.75074,-73.97936,5.0,20,indian
4186,2YufTvP05BC9VORwAcOl_g,Desi BBQ Halal,"36-02 Steinway St, Long Island City, NY 11101",11101,40.7535956,-73.9237429,4.5,52,indian
4187,wQjQHZKH_DxwntbSe1QdxQ,Brick Lane Curry House,"79 2nd Ave, New York, NY 10003",10003,40.7265407754881,-73.9893999248542,3.5,1006,indian
4188,TcuWyuZAORVnQBPCMNbTgw,Beyond Sushi,"62 W 56th St, New York, NY 10019",10019,40.76331,-73.97717,4.5,811,indian
4189,wMhJPpAQqmbGhOFErPh4zg,Woodlands Cafe,"160 Frederick St, Garfield, NJ 07026",07026,40.874897,-74.102093,4.0,74,indian
4190,9MO5UogFuvqAriOA9RlqKA,Saravana Bhavan,"32 Old Slip, New York, NY 10005",10005,40.7038,-74.00816,4.0,9,indian
4191,9heTBCW1DDAKyO0GrY3Nxw,Delhi Masala,"2077 Adam Clayton Powell Jr Blvd, New York, NY 10027",10027,40.80799,-73.94856,4.0,182,indian
4192,ODpSYoZ8fkaX3UaDzBLhsg,Kamal Palace,"623 Ridge Rd, North Arlington, NJ 07031",07031,40.798642,-74.126354,4.0,254,indian
4194,I8X2NYRYHdWrGrxIHZFJ5A,Tangra Asian Fusion Cuisine,"3923 Queens Blvd, Sunnyside, NY 11104",11104,40.74427,-73.92489,3.0,293,indian
4195,Y6Q4uhE-GsP2iykSW9oJPw,Rudra Indian Bistro,"561 Cedar Ln, Teaneck, NJ 07666",07666,40.89044,-74.02528,4.5,88,indian
4196,ByJBXa3HwPqw8eSPfDObkg,Mint Heights,"46 Henry St, Brooklyn, NY 11201",11201,40.699657772028765,-73.99217437260721,4.5,91,indian
